ensembl_gene_id,CTRL-1,CTRL-2,CTRL-3,27HC-1,27HC-2,27HC-3
ENSG00000000003,0,0,0,0,0,0
ENSG00000000005,0,0,0,0,0,0
ENSG00000000419,2183,1853,1552,1504,1500,1349
ENSG00000000457,330,417,312,492,583,464
ENSG00000000460,266,415,159,415,457,415
ENSG00000000938,6,6,20,20,27,24
ENSG00000000971,22,30,14,15,22,21
ENSG00000001036,460,507,388,429,574,428
ENSG00000001084,731,974,631,1152,1240,1286
ENSG00000001167,427,520,402,682,917,825
ENSG00000001460,74,70,84,66,104,85
ENSG00000001461,434,627,752,748,1135,1057
ENSG00000001497,1058,1209,1555,1070,1603,1521
ENSG00000001561,190,276,171,419,391,309
ENSG00000001617,4,1,6,0,0,0
ENSG00000001626,0,0,3,1,3,0
ENSG00000001629,1172,1533,1066,2118,2343,2248
ENSG00000001630,7,25,95,2,9,21
ENSG00000001631,212,290,273,345,346,320
ENSG00000002016,165,140,86,107,142,167
ENSG00000002079,0,2,0,0,1,4
ENSG00000002330,139,102,245,68,125,114
ENSG00000002549,6434,5641,5962,4974,7153,6024
ENSG00000002586,10307,9691,11840,5913,7806,7125
ENSG00000002587,5,10,5,61,134,104
ENSG00000002726,0,0,0,0,1,5
ENSG00000002745,28,24,9,43,22,33
ENSG00000002746,0,0,0,0,0,0
ENSG00000002822,135,93,92,74,130,104
ENSG00000002834,2399,4212,5401,5033,11040,10189
ENSG00000002919,909,965,1057,840,1204,1069
ENSG00000002933,1,7,1,3,5,0
ENSG00000003056,630,1179,1334,2150,3212,2885
ENSG00000003096,3,0,0,2,3,7
ENSG00000003137,0,0,3,4,0,0
ENSG00000003147,10,20,27,26,15,17
ENSG00000003249,0,0,0,2,2,0
ENSG00000003393,381,518,367,614,725,609
ENSG00000003400,602,801,736,833,1124,1004
ENSG00000003402,3456,3629,4289,3487,4994,4461
ENSG00000003436,34,46,42,66,102,50
ENSG00000003509,366,442,409,354,450,441
ENSG00000003756,1228,1354,1603,1847,2362,2187
ENSG00000003987,54,57,60,71,54,56
ENSG00000003989,0,0,0,0,0,0
ENSG00000004059,4038,3797,3878,2192,2438,2166
ENSG00000004139,112,162,181,212,335,359
ENSG00000004142,1615,1960,2682,2264,3228,2723
ENSG00000004399,0,10,2,4,4,17
ENSG00000004455,5495,5993,5472,4756,5836,5180
ENSG00000004468,4512,6100,4651,5848,7905,6760
ENSG00000004478,664,700,987,913,1364,1116
ENSG00000004487,1778,2200,2277,1940,2530,2222
ENSG00000004534,1699,2057,2200,1695,2549,2347
ENSG00000004660,15,73,26,26,42,54
ENSG00000004700,950,1631,1280,2840,3080,2803
ENSG00000004766,264,295,214,482,420,323
ENSG00000004776,1,1,2,2,0,0
ENSG00000004777,514,823,1178,465,988,1050
ENSG00000004779,3327,2683,2724,2434,2185,1928
ENSG00000004799,8,3,6,16,23,10
ENSG00000004809,0,0,0,0,0,0
ENSG00000004838,48,43,40,14,37,52
ENSG00000004846,0,0,0,0,0,0
ENSG00000004848,0,0,0,0,0,0
ENSG00000004864,213,280,208,398,532,484
ENSG00000004866,87,98,79,232,232,171
ENSG00000004897,2142,2568,1906,3210,3540,3092
ENSG00000004939,0,0,0,0,1,0
ENSG00000004948,0,0,0,0,0,0
ENSG00000004961,565,492,484,450,535,484
ENSG00000004975,390,676,732,454,915,968
ENSG00000005001,4,6,8,3,0,0
ENSG00000005007,1187,1564,2025,2215,4005,3725
ENSG00000005020,304,317,244,388,477,434
ENSG00000005022,10067,9015,8941,7882,9195,8010
ENSG00000005059,2188,2234,1693,1389,1310,1284
ENSG00000005073,0,0,0,0,1,5
ENSG00000005075,1359,1199,1151,996,1016,907
ENSG00000005100,394,550,521,824,1193,1239
ENSG00000005102,0,9,4,0,0,0
ENSG00000005108,0,0,0,0,0,0
ENSG00000005156,332,518,516,640,1148,1063
ENSG00000005175,1445,1487,1135,1950,1645,1478
ENSG00000005187,77,102,108,45,60,36
ENSG00000005189,549,784,623,285,314,291
ENSG00000005194,1409,1416,1525,1758,1828,1641
ENSG00000005206,1007,1404,1795,872,1350,1371
ENSG00000005238,404,472,486,419,652,701
ENSG00000005243,108,114,91,77,104,87
ENSG00000005249,7,5,1,5,13,3
ENSG00000005302,1295,1339,1163,1566,1748,1427
ENSG00000005339,862,889,745,1876,3334,3013
ENSG00000005379,2138,2938,3848,1331,2308,2269
ENSG00000005381,0,0,0,0,0,1
ENSG00000005421,12,7,6,8,1,2
ENSG00000005436,358,417,317,461,467,330
ENSG00000005448,2836,2775,2849,638,890,728
ENSG00000005469,282,323,178,195,283,229
ENSG00000005471,0,0,0,1,3,0
ENSG00000005483,1220,1526,1119,1880,2911,2640
ENSG00000005486,1010,1178,1180,1563,2125,1857
ENSG00000005513,0,0,1,1,0,2
ENSG00000005700,1767,2023,1750,2633,2812,2503
ENSG00000005801,794,827,600,972,1083,1132
ENSG00000005810,858,1124,1005,1797,2403,2367
ENSG00000005812,1492,1385,950,1875,1521,1383
ENSG00000005844,8084,11727,11818,11232,18605,16232
ENSG00000005882,94,130,151,250,401,351
ENSG00000005884,36,62,97,176,398,373
ENSG00000005889,726,995,642,1746,1978,1866
ENSG00000005893,2844,3791,2273,4624,4967,4112
ENSG00000005961,10,12,33,2,7,6
ENSG00000005981,5,13,6,6,3,0
ENSG00000006007,1601,2248,1846,1868,2221,1874
ENSG00000006015,2963,2360,4749,1198,1879,1860
ENSG00000006016,3,3,1,1,6,1
ENSG00000006025,377,541,588,344,738,592
ENSG00000006042,31,46,38,53,57,40
ENSG00000006047,17,42,33,2,4,10
ENSG00000006059,0,0,0,0,0,0
ENSG00000006062,320,486,762,486,844,873
ENSG00000006071,0,0,0,0,0,0
ENSG00000006116,0,0,0,0,0,1
ENSG00000006118,0,1,6,1,0,0
ENSG00000006125,3275,3860,3480,6445,8420,7678
ENSG00000006128,0,0,0,0,0,0
ENSG00000006194,366,370,561,294,479,400
ENSG00000006210,0,0,0,0,0,0
ENSG00000006282,561,847,957,558,817,819
ENSG00000006283,4,0,0,0,0,2
ENSG00000006327,79,102,94,90,122,149
ENSG00000006377,0,0,0,0,0,0
ENSG00000006432,119,103,121,161,324,271
ENSG00000006451,1383,1326,1054,1334,1706,1538
ENSG00000006453,8,3,7,15,55,19
ENSG00000006459,185,264,164,271,321,253
ENSG00000006468,29,59,42,24,57,69
ENSG00000006530,1013,1505,1260,1233,1634,1555
ENSG00000006534,0,1,3,5,2,0
ENSG00000006555,28,30,61,76,135,127
ENSG00000006576,2756,3516,2435,6114,6130,5580
ENSG00000006606,0,0,2,0,0,0
ENSG00000006607,129,110,104,235,375,384
ENSG00000006611,0,0,0,0,0,0
ENSG00000006625,775,621,790,329,296,289
ENSG00000006634,1981,2305,1407,2213,2017,1898
ENSG00000006638,2,0,1,0,4,0
ENSG00000006652,199,190,145,229,230,230
ENSG00000006659,0,0,0,0,1,0
ENSG00000006695,527,561,475,691,1027,855
ENSG00000006704,5,2,6,28,18,33
ENSG00000006712,1100,1002,1640,1150,1868,1572
ENSG00000006715,848,1111,906,1688,1667,1610
ENSG00000006740,1,2,0,7,4,2
ENSG00000006744,1528,1691,2408,2112,2987,3025
ENSG00000006747,0,2,0,2,1,0
ENSG00000006756,112,148,126,169,277,206
ENSG00000006757,217,250,181,98,118,117
ENSG00000006788,0,0,0,0,0,0
ENSG00000006831,1797,2339,2112,1958,2596,2359
ENSG00000006837,19,20,7,7,12,5
ENSG00000007001,1,11,14,0,0,0
ENSG00000007038,277,379,472,157,203,231
ENSG00000007047,336,441,581,426,813,839
ENSG00000007062,2,0,0,0,0,1
ENSG00000007080,1765,1635,2163,886,1902,1752
ENSG00000007129,206,330,376,280,370,401
ENSG00000007168,3571,3880,4120,5055,5502,5277
ENSG00000007171,1,2,15,0,0,0
ENSG00000007174,0,0,0,0,0,0
ENSG00000007202,753,934,1362,1862,3484,2927
ENSG00000007216,0,0,0,0,0,0
ENSG00000007237,0,1,1,6,10,14
ENSG00000007255,1288,1362,2216,468,521,481
ENSG00000007264,307,265,361,358,704,647
ENSG00000007306,0,0,0,0,0,0
ENSG00000007312,152,123,255,37,55,73
ENSG00000007314,0,4,13,4,6,13
ENSG00000007341,235,245,187,209,248,214
ENSG00000007350,34,31,31,40,36,39
ENSG00000007372,0,3,4,2,2,1
ENSG00000007376,1022,925,1341,868,1231,1213
ENSG00000007384,4,1,1,20,21,10
ENSG00000007392,705,656,811,822,954,1027
ENSG00000007402,20,22,8,13,30,22
ENSG00000007516,12,22,16,12,28,22
ENSG00000007520,1830,1551,3006,860,1413,1311
ENSG00000007541,583,551,863,695,962,942
ENSG00000007545,338,388,425,459,692,577
ENSG00000007866,5,4,12,2,4,10
ENSG00000007908,0,0,0,0,0,0
ENSG00000007923,217,254,478,637,1108,917
ENSG00000007933,0,0,3,0,0,0
ENSG00000007944,363,612,437,403,503,509
ENSG00000007952,17,6,0,19,8,4
ENSG00000007968,756,973,1345,1615,2639,2569
ENSG00000008018,8829,6988,6166,4848,5510,4966
ENSG00000008056,3,0,0,4,3,9
ENSG00000008083,785,958,917,2291,3607,3345
ENSG00000008086,5,0,0,11,25,17
ENSG00000008118,0,0,0,0,0,2
ENSG00000008128,30,40,58,25,63,49
ENSG00000008130,1467,1836,2225,1752,2583,2460
ENSG00000008196,0,0,0,0,0,1
ENSG00000008197,0,0,0,0,0,0
ENSG00000008226,17,12,45,33,39,32
ENSG00000008256,7,6,5,14,19,25
ENSG00000008277,128,226,184,206,262,232
ENSG00000008282,1761,1871,1246,1544,1392,1224
ENSG00000008283,41,60,73,70,152,132
ENSG00000008294,1158,1418,1279,1812,2391,2113
ENSG00000008300,320,457,607,403,753,711
ENSG00000008311,12,3,7,22,5,12
ENSG00000008323,5,7,17,2,7,14
ENSG00000008324,1483,1261,1020,799,778,687
ENSG00000008382,118,126,239,90,130,134
ENSG00000008394,27,20,7,11,9,11
ENSG00000008405,409,545,360,639,737,741
ENSG00000008438,0,0,0,0,4,5
ENSG00000008441,0,3,0,0,3,0
ENSG00000008513,1433,2094,2411,2842,5251,4484
ENSG00000008516,6594,7728,8497,5124,9014,7679
ENSG00000008517,84540,88151,73779,32540,42410,35199
ENSG00000008710,343,627,1147,939,1886,1814
ENSG00000008735,13,19,25,18,14,28
ENSG00000008838,965,1393,1686,2171,3567,3023
ENSG00000008853,37,44,69,86,189,167
ENSG00000008869,158,312,224,769,1006,847
ENSG00000008952,1816,1964,1452,2233,2126,2083
ENSG00000008988,32238,26893,32559,15487,15489,13651
ENSG00000009307,7224,9404,7444,12394,15133,13410
ENSG00000009335,1314,1872,1984,2933,4473,3816
ENSG00000009413,385,449,376,716,802,866
ENSG00000009694,13,28,44,203,339,295
ENSG00000009709,0,0,0,0,0,0
ENSG00000009724,36,103,114,134,289,214
ENSG00000009765,0,0,0,0,0,2
ENSG00000009780,267,365,220,265,304,290
ENSG00000009790,4560,6320,5996,5037,7078,6472
ENSG00000009830,122,168,180,173,363,303
ENSG00000009844,1249,1375,997,1641,1545,1473
ENSG00000009950,0,0,0,0,0,0
ENSG00000009954,1297,1774,1815,3421,4932,4678
ENSG00000010017,996,1477,1120,2251,2746,2565
ENSG00000010030,117,89,82,157,157,165
ENSG00000010072,233,324,178,399,438,442
ENSG00000010165,931,1180,1320,1028,1487,1415
ENSG00000010219,378,345,294,211,302,267
ENSG00000010244,5688,7159,4714,8000,8800,7915
ENSG00000010256,8774,7549,8324,4501,5094,4696
ENSG00000010270,1384,1315,903,1322,1474,1164
ENSG00000010278,143,215,152,1045,1074,864
ENSG00000010282,0,0,0,0,0,0
ENSG00000010292,3701,4846,5431,3918,6585,5662
ENSG00000010295,332,457,543,342,556,568
ENSG00000010310,233,515,521,88,203,214
ENSG00000010318,199,498,421,207,282,293
ENSG00000010319,0,0,0,0,0,0
ENSG00000010322,1351,1906,2461,1745,2849,2759
ENSG00000010327,0,0,0,0,0,1
ENSG00000010361,139,234,264,85,181,140
ENSG00000010379,0,4,1,0,6,0
ENSG00000010404,252,370,352,325,561,577
ENSG00000010438,4,1,3,6,5,6
ENSG00000010539,337,333,287,185,242,244
ENSG00000010610,1475,2258,1725,2307,3917,3287
ENSG00000010626,198,207,196,81,87,65
ENSG00000010671,1,0,1,1,0,0
ENSG00000010704,63,47,68,52,119,71
ENSG00000010803,135,262,224,412,652,616
ENSG00000010810,1649,2322,2264,2276,3086,2875
ENSG00000010818,157,174,212,280,468,449
ENSG00000010932,0,6,0,2,3,1
ENSG00000011007,619,753,746,1551,2057,1874
ENSG00000011009,2373,2203,2661,1566,2559,2459
ENSG00000011021,229,329,304,281,513,484
ENSG00000011028,23,39,45,69,122,105
ENSG00000011052,0,0,0,0,0,0
ENSG00000011083,0,0,0,0,0,0
ENSG00000011105,0,0,0,0,0,0
ENSG00000011114,198,285,222,580,823,735
ENSG00000011132,690,979,1058,738,1251,1213
ENSG00000011143,326,269,285,244,270,237
ENSG00000011198,402,463,313,629,664,608
